roi_id,site_id,soil,mesquite,pixel_size
r-384,NORT,1,0,1
r-385,NORT,0.793,0.207,1
r-386,NORT,1,0,1
r-387,NORT,1,0,1
r-388,NORT,0,1,1
r-389,NORT,1,0,1
r-390,NORT,0.298,0.702,1
r-391,NORT,0,1,1
r-392,NORT,1,0,1
r-393,NORT,0.083,0.917,1
r-394,NORT,0.322,0.678,1
r-395,NORT,1,0,1
r-396,NORT,1,0,1
r-397,NORT,0,1,1
r-398,NORT,1,0,1
r-399,NORT,1,0,1
r-400,NORT,0.793,0.207,1
r-401,NORT,1,0,1
r-402,NORT,0.95,0.05,1
r-403,NORT,0.05,0.95,1
r-404,NORT,0.868,0.132,1
r-405,NORT,1,0,1
r-406,NORT,0,1,1
r-407,NORT,1,0,1
r-408,NORT,0.926,0.074,1
r-409,NORT,0.074,0.926,1
r-410,NORT,0.017,0.983,1
r-411,NORT,0,1,1
r-412,NORT,1,0,1
r-413,NORT,0.975,0.025,1
r-414,NORT,0.132,0.868,1
r-415,NORT,1,0,1
r-416,NORT,1,0,1
r-417,NORT,0.372,0.628,1
r-418,NORT,1,0,1
r-419,NORT,0,1,1
r-420,NORT,0,1,1
r-421,NORT,1,0,1
r-422,NORT,0.107,0.893,1
r-423,NORT,0,1,1
r-424,NORT,0.702,0.298,1
r-425,NORT,1,0,1
r-426,NORT,0.099,0.901,1
r-427,NORT,1,0,1
r-428,NORT,1,0,1
r-429,NORT,1,0,1
r-430,NORT,0,1,1
r-431,NORT,0,1,1
r-432,NORT,1,0,1
r-433,NORT,1,0,1
r-434,NORT,0,1,1
r-435,NORT,1,0,1
r-436,NORT,1,0,1
r-438,NORT,0.314,0.686,1
r-439,NORT,0,1,1
r-440,NORT,1,0,1
r-441,NORT,1,0,1
r-442,NORT,1,0,1
r-443,NORT,1,0,1
r-444,NORT,0.926,0.074,1
r-445,NORT,1,0,1
r-446,NORT,1,0,1
r-447,NORT,1,0,1
r-448,NORT,0,1,1
r-449,NORT,1,0,1
r-450,NORT,0,1,1
r-451,NORT,1,0,1
r-452,NORT,1,0,1
r-453,NORT,0,1,1
r-454,NORT,0.281,0.719,1
r-455,NORT,0.678,0.322,1
r-456,NORT,0,1,1
r-457,NORT,0,1,1
r-458,NORT,1,0,1
r-459,NORT,0,1,1
r-460,NORT,0,1,1
r-461,NORT,1,0,1
r-462,NORT,1,0,1
r-463,NORT,1,0,1
r-464,NORT,0.14,0.86,1
r-465,NORT,1,0,1
r-466,NORT,0,1,1
r-467,NORT,1,0,1
r-468,NORT,1,0,1
r-469,NORT,1,0,1
r-470,NORT,1,0,1
r-471,NORT,1,0,1
r-472,NORT,1,0,1
r-473,NORT,1,0,1
r-474,NORT,0,1,1
r-475,NORT,0,1,1
r-476,NORT,1,0,1
r-477,NORT,1,0,1
r-478,NORT,1,0,1
r-479,NORT,1,0,1
r-480,NORT,0.116,0.884,1
r-481,NORT,0,1,1
r-482,NORT,1,0,1
r-483,NORT,1,0,1
r-484,NORT,1,0,1
r-485,NORT,0,1,1
r-486,NORT,0.174,0.826,1
r-487,NORT,0,1,1
r-488,NORT,0,1,1
r-489,NORT,1,0,1
r-490,NORT,1,0,1
r-491,NORT,0,1,1
r-492,NORT,1,0,1
r-493,NORT,1,0,1
r-494,NORT,0.893,0.107,1
r-495,NORT,0,1,1
r-496,NORT,0,1,1
r-497,NORT,0.306,0.694,1
r-498,NORT,1,0,1
r-499,NORT,0.421,0.579,1
r-500,NORT,0.587,0.413,1
r-501,NORT,0.298,0.702,1
r-502,NORT,1,0,1
r-503,NORT,1,0,1
r-504,NORT,0.331,0.669,1
r-505,NORT,0.537,0.463,1
r-506,NORT,0.884,0.116,1
r-507,NORT,1,0,1
r-508,NORT,0,1,1
r-509,NORT,0,1,1
r-510,NORT,1,0,1
r-511,NORT,1,0,1
r-512,NORT,0,1,1
r-513,NORT,0,1,1
r-514,NORT,1,0,1
r-515,NORT,0.174,0.826,1
r-516,NORT,0.38,0.62,1
r-517,NORT,1,0,1
r-518,NORT,1,0,1
r-519,NORT,1,0,1
r-520,NORT,0.983,0.017,1
r-521,NORT,1,0,1
r-522,NORT,1,0,1
r-523,NORT,0.959,0.041,1
r-524,NORT,1,0,1
r-525,NORT,0.479,0.521,1
r-526,NORT,1,0,1
r-527,NORT,0,1,1
r-528,NORT,1,0,1
r-529,NORT,1,0,1
r-530,NORT,1,0,1
r-531,NORT,1,0,1
r-532,NORT,1,0,1
r-533,NORT,0,1,1
r-534,NORT,0.017,0.983,1
r-535,NORT,0,1,1
r-536,NORT,1,0,1
r-537,NORT,0.843,0.157,1
r-538,NORT,0.537,0.463,1
r-539,NORT,1,0,1
r-540,NORT,1,0,1
r-541,NORT,1,0,1
r-542,NORT,1,0,1
r-543,NORT,0,1,1
r-544,NORT,1,0,1
r-545,NORT,1,0,1
r-546,NORT,1,0,1
r-547,NORT,0.413,0.587,1
r-548,NORT,1,0,1
r-549,NORT,0.306,0.694,1
r-550,NORT,0.851,0.149,1
r-551,NORT,0,1,1
r-552,NORT,1,0,1
r-553,NORT,1,0,1
r-554,NORT,1,0,1
r-555,NORT,0,1,1
r-556,NORT,1,0,1
r-557,NORT,1,0,1
r-558,NORT,0.917,0.083,1
r-559,NORT,1,0,1
r-560,NORT,0,1,1
r-561,NORT,1,0,1
r-562,NORT,1,0,1
r-563,NORT,0,1,1
r-564,NORT,1,0,1
r-565,NORT,1,0,1
r-566,NORT,0.537,0.463,1
r-567,NORT,0,1,1
r-568,NORT,1,0,1
r-569,NORT,1,0,1
r-570,NORT,1,0,1
r-571,NORT,0.893,0.107,1
r-572,NORT,1,0,1
r-573,NORT,1,0,1
r-574,NORT,0.802,0.198,1
r-575,NORT,1,0,1
r-576,NORT,0.091,0.909,1
r-577,NORT,1,0,1
r-578,NORT,0.446,0.554,1
r-579,NORT,1,0,1
r-580,NORT,1,0,1
r-581,NORT,1,0,1
r-582,NORT,1,0,1
r-583,NORT,0,1,1
r-584,NORT,1,0,1
r-585,NORT,1,0,1
r-586,NORT,0.686,0.314,1
r-587,NORT,0,1,1
r-588,NORT,1,0,1
r-589,NORT,0.702,0.298,1
r-590,NORT,1,0,1
r-591,NORT,1,0,1
r-592,NORT,0.099,0.901,1
r-593,NORT,1,0,1
r-594,NORT,1,0,1
